Cube,Metric Name,Metric Description,Data Type,Format,Aggregation,Availability Status,Business Purpose,Your Requested Dimensions Available,Notes on Available Dimensions vs Missing
CustomerSnapshots,customers_first_purchase_at_merchant_count,Count of new customers,number,,sum,✅ AVAILABLE,Customer acquisition tracking,"Order ID✅, Customer✅, Customer Type✅, Order Created✅ | Device❌, Device Nickname❌, Channel❌, Employee❌, Location❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌","LIMITED: Only 4/13 dimensions available. Focused on customer analysis but missing operational context like employee, device, location."
CustomerSnapshots,new_customer_percentage_at_merchant,Percentage of orders from new customers,number,percent,avg,✅ AVAILABLE,Customer acquisition rate,"Order ID✅, Customer✅, Customer Type✅, Order Created✅ | Device❌, Device Nickname❌, Channel❌, Employee❌, Location❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌","LIMITED: Customer-focused metric with minimal dimensional support. Good for customer analysis, poor for operational breakdown."
PaymentAndRefunds,total_amount,Total payment/refund amount including tips,number,currency,sum,✅ AVAILABLE,Payment processing tracking,"Order ID✅, Device✅, Device Nickname✅, Location✅, Customer❌, Order Created✅ | Channel❌, Employee✅, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: 5/13 dimensions available. Strong for device/payment analysis but missing customer context and channel info.
PaymentAndRefunds,itemized_amount,Payment amount excluding tips,number,currency,sum,✅ AVAILABLE,Core payment tracking,"Order ID✅, Device✅, Device Nickname✅, Location✅, Employee✅, Order Created✅ | Channel❌, Customer❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: 6/13 dimensions. Excellent for payment method and device analysis. Missing customer and channel context.
Fees,amount_money,Processing fees (negative for costs),number,currency,sum,✅ AVAILABLE,Cost tracking,"Order ID✅, Location✅, Device❌, Order Created✅ | Device Nickname❌, Channel❌, Employee❌, Customer❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",LIMITED: Only 3/13 dimensions available. Focused on fee analysis with minimal operational context.
ItemDiscountsAndComps,total_discount_and_comp_amount,Total discounts and comps applied to items,number,currency,sum,✅ AVAILABLE,Item-level promotional tracking,"Order ID✅, Location✅, Customer❌, Order Created✅, Item Name✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: 5/13 dimensions + item context. Good for promotional analysis by item/location but missing employee and customer context.
ItemDiscountsAndComps,orders_count,Count of orders with discounts/comps,number,,countDistinct,✅ AVAILABLE,Promotional reach tracking,"Order ID✅, Location✅, Customer❌, Order Created✅, Item Name✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: Same dimensional limitations as discount amounts. Good for understanding promotional penetration.
ModifiersTransacted,gross_sales,Gross sales from modifiers,number,currency,sum,✅ AVAILABLE,Add-on revenue tracking,"Order ID✅, Location✅, Customer❌, Order Created✅, Modifier Name✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: 5/13 dimensions + modifier context. Great for upselling analysis but limited operational context.
ModifiersTransacted,net_quantity,Net modifier quantity,number,,sum,✅ AVAILABLE,Modifier popularity tracking,"Order ID✅, Location✅, Customer❌, Order Created✅, Modifier Name✅ | Device❌, Device Nickname❌, Channel✅, Employee❌, Customer Type❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",MODERATE: Good for understanding which modifiers are popular by location/time but missing employee performance context.
Voids,total_amount_voided,Total amount of voided items,number,currency,sum,✅ AVAILABLE,Loss/waste tracking,"Order ID✅, Location✅, Customer✅, Order Created✅, Employee✅, Item Name✅ | Device❌, Device Nickname❌, Channel❌, Customer Type❌, Order Completed✅, Order Name❌, Section❌, Visit Frequency❌","GOOD: 6/13 dimensions available. Excellent for operational analysis - can track voids by employee, location, customer, item. Missing device context."
Voids,count,Count of voided line items,number,,count,✅ AVAILABLE,Void frequency tracking,"Order ID✅, Location✅, Customer✅, Order Created✅, Employee✅, Item Name✅ | Device❌, Device Nickname❌, Channel❌, Customer Type❌, Order Completed✅, Order Name❌, Section❌, Visit Frequency❌",GOOD: Same as void amounts. Great for identifying patterns in operational issues by staff/location/item.
Location,count,Count of locations,number,,count,✅ AVAILABLE,Location inventory,"Location✅ | Order ID❌, Device❌, Device Nickname❌, Channel❌, Employee❌, Customer❌, Customer Type❌, Order Created❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌","VERY LIMITED: Only 1/13 dimensions. This is master data, not transactional, so limited dimensional analysis."
Channel,count,Count of sales channels,number,,count,✅ AVAILABLE,Channel inventory,"Channel✅ | Order ID❌, Device❌, Device Nickname❌, Employee❌, Location❌, Customer❌, Customer Type❌, Order Created❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌",VERY LIMITED: Only 1/13 dimensions. Master data cube with minimal transactional context.
Catalog,count,Count of catalog objects,number,,count,✅ AVAILABLE,Catalog inventory,"Item Name✅, Category✅ | Order ID❌, Device❌, Device Nickname❌, Channel❌, Employee❌, Location❌, Customer❌, Customer Type❌, Order Created❌, Order Completed❌, Order Name❌, Section❌, Visit Frequency❌","VERY LIMITED: Only item-related dimensions. Master data for products, not transactional analysis."
